calendarDate,Day_Name,Sum of DayOfMonth,Sum of DayOfWeek,Sum of DayOfYear,IsWeekDay,Sum of Month,Month_Name,Sum of QuarterOfYear,SK_date,Sum of Year
2016-02-15 00:00:00,Monday,15,1,46,Y,2,February,1,15022016,2016
2016-02-16 00:00:00,Tuesday,16,2,47,Y,2,February,1,16022016,2016
2016-02-17 00:00:00,Wednesday,17,3,48,Y,2,February,1,17022016,2016
2016-02-18 00:00:00,Thursday,18,4,49,Y,2,February,1,18022016,2016
2016-02-19 00:00:00,Friday,19,5,50,Y,2,February,1,19022016,2016
2016-02-20 00:00:00,Saturday,20,6,51,N,2,February,1,20022016,2016
2016-02-21 00:00:00,Sunday,21,7,52,N,2,February,1,21022016,2016
2016-02-22 00:00:00,Monday,22,1,53,Y,2,February,1,22022016,2016
2016-02-23 00:00:00,Tuesday,23,2,54,Y,2,February,1,23022016,2016
2016-02-24 00:00:00,Wednesday,24,3,55,Y,2,February,1,24022016,2016
2016-02-25 00:00:00,Thursday,25,4,56,Y,2,February,1,25022016,2016
2016-02-26 00:00:00,Friday,26,5,57,Y,2,February,1,26022016,2016
2016-02-27 00:00:00,Saturday,27,6,58,N,2,February,1,27022016,2016
2016-02-28 00:00:00,Sunday,28,7,59,N,2,February,1,28022016,2016
2016-02-29 00:00:00,Monday,29,1,60,Y,2,February,1,29022016,2016
2016-03-01 00:00:00,Tuesday,1,2,61,Y,3,March,1,01032016,2016
2016-03-02 00:00:00,Wednesday,2,3,62,Y,3,March,1,02032016,2016
2016-03-03 00:00:00,Thursday,3,4,63,Y,3,March,1,03032016,2016
2016-03-04 00:00:00,Friday,4,5,64,Y,3,March,1,04032016,2016
2016-03-05 00:00:00,Saturday,5,6,65,N,3,March,1,05032016,2016
2016-03-06 00:00:00,Sunday,6,7,66,N,3,March,1,06032016,2016
2016-03-07 00:00:00,Monday,7,1,67,Y,3,March,1,07032016,2016
2016-03-08 00:00:00,Tuesday,8,2,68,Y,3,March,1,08032016,2016
2016-03-09 00:00:00,Wednesday,9,3,69,Y,3,March,1,09032016,2016
2016-03-10 00:00:00,Thursday,10,4,70,Y,3,March,1,10032016,2016
2016-03-11 00:00:00,Friday,11,5,71,Y,3,March,1,11032016,2016
2016-03-12 00:00:00,Saturday,12,6,72,N,3,March,1,12032016,2016
2016-03-13 00:00:00,Sunday,13,7,73,N,3,March,1,13032016,2016
2016-03-14 00:00:00,Monday,14,1,74,Y,3,March,1,14032016,2016
2016-03-15 00:00:00,Tuesday,15,2,75,Y,3,March,1,15032016,2016
2016-03-16 00:00:00,Wednesday,16,3,76,Y,3,March,1,16032016,2016
2016-03-17 00:00:00,Thursday,17,4,77,Y,3,March,1,17032016,2016
2016-03-18 00:00:00,Friday,18,5,78,Y,3,March,1,18032016,2016
2016-03-19 00:00:00,Saturday,19,6,79,N,3,March,1,19032016,2016
2016-03-20 00:00:00,Sunday,20,7,80,N,3,March,1,20032016,2016
2016-03-21 00:00:00,Monday,21,1,81,Y,3,March,1,21032016,2016
2016-03-22 00:00:00,Tuesday,22,2,82,Y,3,March,1,22032016,2016
2016-03-23 00:00:00,Wednesday,23,3,83,Y,3,March,1,23032016,2016
2016-03-24 00:00:00,Thursday,24,4,84,Y,3,March,1,24032016,2016
2016-03-25 00:00:00,Friday,25,5,85,Y,3,March,1,25032016,2016
2016-03-26 00:00:00,Saturday,26,6,86,N,3,March,1,26032016,2016
2016-03-27 00:00:00,Sunday,27,7,87,N,3,March,1,27032016,2016
2016-03-28 00:00:00,Monday,28,1,88,Y,3,March,1,28032016,2016
2016-03-29 00:00:00,Tuesday,29,2,89,Y,3,March,1,29032016,2016
2016-03-30 00:00:00,Wednesday,30,3,90,Y,3,March,1,30032016,2016
2016-03-31 00:00:00,Thursday,31,4,91,Y,3,March,1,31032016,2016
2016-04-01 00:00:00,Friday,1,5,92,Y,4,April,2,01042016,2016
2016-04-02 00:00:00,Saturday,2,6,93,N,4,April,2,02042016,2016
2016-04-03 00:00:00,Sunday,3,7,94,N,4,April,2,03042016,2016
2016-04-04 00:00:00,Monday,4,1,95,Y,4,April,2,04042016,2016
2016-04-05 00:00:00,Tuesday,5,2,96,Y,4,April,2,05042016,2016
2016-04-06 00:00:00,Wednesday,6,3,97,Y,4,April,2,06042016,2016
2016-04-07 00:00:00,Thursday,7,4,98,Y,4,April,2,07042016,2016
2016-04-08 00:00:00,Friday,8,5,99,Y,4,April,2,08042016,2016
2016-04-09 00:00:00,Saturday,9,6,100,N,4,April,2,09042016,2016
2016-04-10 00:00:00,Sunday,10,7,101,N,4,April,2,10042016,2016
2016-04-11 00:00:00,Monday,11,1,102,Y,4,April,2,11042016,2016
2016-04-12 00:00:00,Tuesday,12,2,103,Y,4,April,2,12042016,2016
2016-04-13 00:00:00,Wednesday,13,3,104,Y,4,April,2,13042016,2016
2016-04-14 00:00:00,Thursday,14,4,105,Y,4,April,2,14042016,2016
2016-04-15 00:00:00,Friday,15,5,106,Y,4,April,2,15042016,2016
2016-04-16 00:00:00,Saturday,16,6,107,N,4,April,2,16042016,2016
2016-04-17 00:00:00,Sunday,17,7,108,N,4,April,2,17042016,2016
2016-04-18 00:00:00,Monday,18,1,109,Y,4,April,2,18042016,2016
2016-04-19 00:00:00,Tuesday,19,2,110,Y,4,April,2,19042016,2016
2016-04-20 00:00:00,Wednesday,20,3,111,Y,4,April,2,20042016,2016
2016-04-21 00:00:00,Thursday,21,4,112,Y,4,April,2,21042016,2016
2016-04-22 00:00:00,Friday,22,5,113,Y,4,April,2,22042016,2016
2016-04-23 00:00:00,Saturday,23,6,114,N,4,April,2,23042016,2016
2016-04-24 00:00:00,Sunday,24,7,115,N,4,April,2,24042016,2016
2016-04-25 00:00:00,Monday,25,1,116,Y,4,April,2,25042016,2016
2016-04-26 00:00:00,Tuesday,26,2,117,Y,4,April,2,26042016,2016
2016-04-27 00:00:00,Wednesday,27,3,118,Y,4,April,2,27042016,2016
2016-04-28 00:00:00,Thursday,28,4,119,Y,4,April,2,28042016,2016
2016-04-29 00:00:00,Friday,29,5,120,Y,4,April,2,29042016,2016
2016-04-30 00:00:00,Saturday,30,6,121,N,4,April,2,30042016,2016
2016-05-01 00:00:00,Sunday,1,7,122,N,5,May,2,01052016,2016
2016-05-02 00:00:00,Monday,2,1,123,Y,5,May,2,02052016,2016
2016-05-03 00:00:00,Tuesday,3,2,124,Y,5,May,2,03052016,2016
2016-05-04 00:00:00,Wednesday,4,3,125,Y,5,May,2,04052016,2016
2016-05-05 00:00:00,Thursday,5,4,126,Y,5,May,2,05052016,2016
2016-05-06 00:00:00,Friday,6,5,127,Y,5,May,2,06052016,2016
2016-05-07 00:00:00,Saturday,7,6,128,N,5,May,2,07052016,2016
2016-05-08 00:00:00,Sunday,8,7,129,N,5,May,2,08052016,2016
2016-05-09 00:00:00,Monday,9,1,130,Y,5,May,2,09052016,2016
2016-05-10 00:00:00,Tuesday,10,2,131,Y,5,May,2,10052016,2016
2016-05-11 00:00:00,Wednesday,11,3,132,Y,5,May,2,11052016,2016
2016-05-12 00:00:00,Thursday,12,4,133,Y,5,May,2,12052016,2016
2016-05-13 00:00:00,Friday,13,5,134,Y,5,May,2,13052016,2016
2016-05-14 00:00:00,Saturday,14,6,135,N,5,May,2,14052016,2016
2016-05-15 00:00:00,Sunday,15,7,136,N,5,May,2,15052016,2016
2016-05-16 00:00:00,Monday,16,1,137,Y,5,May,2,16052016,2016
2016-05-17 00:00:00,Tuesday,17,2,138,Y,5,May,2,17052016,2016
2016-05-18 00:00:00,Wednesday,18,3,139,Y,5,May,2,18052016,2016
2016-05-19 00:00:00,Thursday,19,4,140,Y,5,May,2,19052016,2016
2016-05-20 00:00:00,Friday,20,5,141,Y,5,May,2,20052016,2016
2016-05-21 00:00:00,Saturday,21,6,142,N,5,May,2,21052016,2016
2016-05-22 00:00:00,Sunday,22,7,143,N,5,May,2,22052016,2016
2016-05-23 00:00:00,Monday,23,1,144,Y,5,May,2,23052016,2016
2016-05-24 00:00:00,Tuesday,24,2,145,Y,5,May,2,24052016,2016
2016-05-25 00:00:00,Wednesday,25,3,146,Y,5,May,2,25052016,2016
2016-05-26 00:00:00,Thursday,26,4,147,Y,5,May,2,26052016,2016
2016-05-27 00:00:00,Friday,27,5,148,Y,5,May,2,27052016,2016
2016-05-28 00:00:00,Saturday,28,6,149,N,5,May,2,28052016,2016
2016-05-29 00:00:00,Sunday,29,7,150,N,5,May,2,29052016,2016
2016-05-30 00:00:00,Monday,30,1,151,Y,5,May,2,30052016,2016
2016-05-31 00:00:00,Tuesday,31,2,152,Y,5,May,2,31052016,2016
2016-06-01 00:00:00,Wednesday,1,3,153,Y,6,June,2,01062016,2016
2016-06-02 00:00:00,Thursday,2,4,154,Y,6,June,2,02062016,2016
2016-06-03 00:00:00,Friday,3,5,155,Y,6,June,2,03062016,2016
2016-06-04 00:00:00,Saturday,4,6,156,N,6,June,2,04062016,2016
2016-06-05 00:00:00,Sunday,5,7,157,N,6,June,2,05062016,2016
2016-06-06 00:00:00,Monday,6,1,158,Y,6,June,2,06062016,2016
2016-06-07 00:00:00,Tuesday,7,2,159,Y,6,June,2,07062016,2016
2016-06-08 00:00:00,Wednesday,8,3,160,Y,6,June,2,08062016,2016
2016-06-09 00:00:00,Thursday,9,4,161,Y,6,June,2,09062016,2016
2016-06-10 00:00:00,Friday,10,5,162,Y,6,June,2,10062016,2016
2016-06-11 00:00:00,Saturday,11,6,163,N,6,June,2,11062016,2016
2016-06-12 00:00:00,Sunday,12,7,164,N,6,June,2,12062016,2016
2016-06-13 00:00:00,Monday,13,1,165,Y,6,June,2,13062016,2016
2016-06-14 00:00:00,Tuesday,14,2,166,Y,6,June,2,14062016,2016
2016-06-15 00:00:00,Wednesday,15,3,167,Y,6,June,2,15062016,2016
2016-06-16 00:00:00,Thursday,16,4,168,Y,6,June,2,16062016,2016
2016-06-17 00:00:00,Friday,17,5,169,Y,6,June,2,17062016,2016
2016-06-18 00:00:00,Saturday,18,6,170,N,6,June,2,18062016,2016
2016-06-19 00:00:00,Sunday,19,7,171,N,6,June,2,19062016,2016
2016-06-20 00:00:00,Monday,20,1,172,Y,6,June,2,20062016,2016
2016-06-21 00:00:00,Tuesday,21,2,173,Y,6,June,2,21062016,2016
2016-06-22 00:00:00,Wednesday,22,3,174,Y,6,June,2,22062016,2016
2016-06-23 00:00:00,Thursday,23,4,175,Y,6,June,2,23062016,2016
2016-06-24 00:00:00,Friday,24,5,176,Y,6,June,2,24062016,2016
2016-06-25 00:00:00,Saturday,25,6,177,N,6,June,2,25062016,2016
2016-06-26 00:00:00,Sunday,26,7,178,N,6,June,2,26062016,2016
2016-06-27 00:00:00,Monday,27,1,179,Y,6,June,2,27062016,2016
2016-06-28 00:00:00,Tuesday,28,2,180,Y,6,June,2,28062016,2016
2016-06-29 00:00:00,Wednesday,29,3,181,Y,6,June,2,29062016,2016
2016-06-30 00:00:00,Thursday,30,4,182,Y,6,June,2,30062016,2016
2016-07-01 00:00:00,Friday,1,5,183,Y,7,July,3,01072016,2016
2016-07-02 00:00:00,Saturday,2,6,184,N,7,July,3,02072016,2016
2016-07-03 00:00:00,Sunday,3,7,185,N,7,July,3,03072016,2016
2016-07-04 00:00:00,Monday,4,1,186,Y,7,July,3,04072016,2016
2016-07-05 00:00:00,Tuesday,5,2,187,Y,7,July,3,05072016,2016
2016-07-06 00:00:00,Wednesday,6,3,188,Y,7,July,3,06072016,2016
2016-07-07 00:00:00,Thursday,7,4,189,Y,7,July,3,07072016,2016
2016-07-08 00:00:00,Friday,8,5,190,Y,7,July,3,08072016,2016
2016-07-09 00:00:00,Saturday,9,6,191,N,7,July,3,09072016,2016
2016-07-10 00:00:00,Sunday,10,7,192,N,7,July,3,10072016,2016
2016-07-11 00:00:00,Monday,11,1,193,Y,7,July,3,11072016,2016
2016-07-12 00:00:00,Tuesday,12,2,194,Y,7,July,3,12072016,2016
2016-07-13 00:00:00,Wednesday,13,3,195,Y,7,July,3,13072016,2016
2016-07-14 00:00:00,Thursday,14,4,196,Y,7,July,3,14072016,2016
2016-07-15 00:00:00,Friday,15,5,197,Y,7,July,3,15072016,2016
2016-07-16 00:00:00,Saturday,16,6,198,N,7,July,3,16072016,2016
2016-07-17 00:00:00,Sunday,17,7,199,N,7,July,3,17072016,2016
2016-07-18 00:00:00,Monday,18,1,200,Y,7,July,3,18072016,2016
2016-07-19 00:00:00,Tuesday,19,2,201,Y,7,July,3,19072016,2016
2016-07-20 00:00:00,Wednesday,20,3,202,Y,7,July,3,20072016,2016
2016-07-21 00:00:00,Thursday,21,4,203,Y,7,July,3,21072016,2016
2016-07-22 00:00:00,Friday,22,5,204,Y,7,July,3,22072016,2016
2016-07-23 00:00:00,Saturday,23,6,205,N,7,July,3,23072016,2016
2016-07-24 00:00:00,Sunday,24,7,206,N,7,July,3,24072016,2016
2016-07-25 00:00:00,Monday,25,1,207,Y,7,July,3,25072016,2016
2016-07-26 00:00:00,Tuesday,26,2,208,Y,7,July,3,26072016,2016
2016-07-27 00:00:00,Wednesday,27,3,209,Y,7,July,3,27072016,2016
2016-07-28 00:00:00,Thursday,28,4,210,Y,7,July,3,28072016,2016
2016-07-29 00:00:00,Friday,29,5,211,Y,7,July,3,29072016,2016
2016-07-30 00:00:00,Saturday,30,6,212,N,7,July,3,30072016,2016
2016-07-31 00:00:00,Sunday,31,7,213,N,7,July,3,31072016,2016
2016-08-01 00:00:00,Monday,1,1,214,Y,8,August,3,01082016,2016
2016-08-02 00:00:00,Tuesday,2,2,215,Y,8,August,3,02082016,2016
2016-08-03 00:00:00,Wednesday,3,3,216,Y,8,August,3,03082016,2016
2016-08-04 00:00:00,Thursday,4,4,217,Y,8,August,3,04082016,2016
2016-08-05 00:00:00,Friday,5,5,218,Y,8,August,3,05082016,2016
2016-08-06 00:00:00,Saturday,6,6,219,N,8,August,3,06082016,2016
2016-08-07 00:00:00,Sunday,7,7,220,N,8,August,3,07082016,2016
2016-08-08 00:00:00,Monday,8,1,221,Y,8,August,3,08082016,2016
2016-08-09 00:00:00,Tuesday,9,2,222,Y,8,August,3,09082016,2016
2016-08-10 00:00:00,Wednesday,10,3,223,Y,8,August,3,10082016,2016
2016-08-11 00:00:00,Thursday,11,4,224,Y,8,August,3,11082016,2016
2016-08-12 00:00:00,Friday,12,5,225,Y,8,August,3,12082016,2016
2016-08-13 00:00:00,Saturday,13,6,226,N,8,August,3,13082016,2016
2016-08-14 00:00:00,Sunday,14,7,227,N,8,August,3,14082016,2016
2016-08-15 00:00:00,Monday,15,1,228,Y,8,August,3,15082016,2016
2016-08-16 00:00:00,Tuesday,16,2,229,Y,8,August,3,16082016,2016
2016-08-17 00:00:00,Wednesday,17,3,230,Y,8,August,3,17082016,2016
2016-08-18 00:00:00,Thursday,18,4,231,Y,8,August,3,18082016,2016
2016-08-19 00:00:00,Friday,19,5,232,Y,8,August,3,19082016,2016
2016-08-20 00:00:00,Saturday,20,6,233,N,8,August,3,20082016,2016
2016-08-21 00:00:00,Sunday,21,7,234,N,8,August,3,21082016,2016
2016-08-22 00:00:00,Monday,22,1,235,Y,8,August,3,22082016,2016
2016-08-23 00:00:00,Tuesday,23,2,236,Y,8,August,3,23082016,2016
2016-08-24 00:00:00,Wednesday,24,3,237,Y,8,August,3,24082016,2016
2016-08-25 00:00:00,Thursday,25,4,238,Y,8,August,3,25082016,2016
2016-08-26 00:00:00,Friday,26,5,239,Y,8,August,3,26082016,2016
2016-08-27 00:00:00,Saturday,27,6,240,N,8,August,3,27082016,2016
2016-08-28 00:00:00,Sunday,28,7,241,N,8,August,3,28082016,2016
2016-08-29 00:00:00,Monday,29,1,242,Y,8,August,3,29082016,2016
2016-08-30 00:00:00,Tuesday,30,2,243,Y,8,August,3,30082016,2016
2016-08-31 00:00:00,Wednesday,31,3,244,Y,8,August,3,31082016,2016
2016-09-01 00:00:00,Thursday,1,4,245,Y,9,September,3,01092016,2016
2016-09-02 00:00:00,Friday,2,5,246,Y,9,September,3,02092016,2016
2016-09-03 00:00:00,Saturday,3,6,247,N,9,September,3,03092016,2016
2016-09-04 00:00:00,Sunday,4,7,248,N,9,September,3,04092016,2016
2016-09-05 00:00:00,Monday,5,1,249,Y,9,September,3,05092016,2016
2016-09-06 00:00:00,Tuesday,6,2,250,Y,9,September,3,06092016,2016
2016-09-07 00:00:00,Wednesday,7,3,251,Y,9,September,3,07092016,2016
2016-09-08 00:00:00,Thursday,8,4,252,Y,9,September,3,08092016,2016
2016-09-09 00:00:00,Friday,9,5,253,Y,9,September,3,09092016,2016
2016-09-10 00:00:00,Saturday,10,6,254,N,9,September,3,10092016,2016
2016-09-11 00:00:00,Sunday,11,7,255,N,9,September,3,11092016,2016
2016-09-12 00:00:00,Monday,12,1,256,Y,9,September,3,12092016,2016
2016-09-13 00:00:00,Tuesday,13,2,257,Y,9,September,3,13092016,2016
2016-09-14 00:00:00,Wednesday,14,3,258,Y,9,September,3,14092016,2016
2016-09-15 00:00:00,Thursday,15,4,259,Y,9,September,3,15092016,2016
2016-09-16 00:00:00,Friday,16,5,260,Y,9,September,3,16092016,2016
2016-09-17 00:00:00,Saturday,17,6,261,N,9,September,3,17092016,2016
2016-09-18 00:00:00,Sunday,18,7,262,N,9,September,3,18092016,2016
2016-09-19 00:00:00,Monday,19,1,263,Y,9,September,3,19092016,2016
2016-09-20 00:00:00,Tuesday,20,2,264,Y,9,September,3,20092016,2016
2016-09-21 00:00:00,Wednesday,21,3,265,Y,9,September,3,21092016,2016
2016-09-22 00:00:00,Thursday,22,4,266,Y,9,September,3,22092016,2016
2016-09-23 00:00:00,Friday,23,5,267,Y,9,September,3,23092016,2016
2016-09-24 00:00:00,Saturday,24,6,268,N,9,September,3,24092016,2016
2016-09-25 00:00:00,Sunday,25,7,269,N,9,September,3,25092016,2016
2016-09-26 00:00:00,Monday,26,1,270,Y,9,September,3,26092016,2016
2016-09-27 00:00:00,Tuesday,27,2,271,Y,9,September,3,27092016,2016
2016-09-28 00:00:00,Wednesday,28,3,272,Y,9,September,3,28092016,2016
2016-09-29 00:00:00,Thursday,29,4,273,Y,9,September,3,29092016,2016
2016-09-30 00:00:00,Friday,30,5,274,Y,9,September,3,30092016,2016
2016-10-01 00:00:00,Saturday,1,6,275,N,10,October,4,01102016,2016
2016-10-02 00:00:00,Sunday,2,7,276,N,10,October,4,02102016,2016
2016-10-03 00:00:00,Monday,3,1,277,Y,10,October,4,03102016,2016
2016-10-04 00:00:00,Tuesday,4,2,278,Y,10,October,4,04102016,2016
2016-10-05 00:00:00,Wednesday,5,3,279,Y,10,October,4,05102016,2016
2016-10-06 00:00:00,Thursday,6,4,280,Y,10,October,4,06102016,2016
2016-10-07 00:00:00,Friday,7,5,281,Y,10,October,4,07102016,2016
2016-10-08 00:00:00,Saturday,8,6,282,N,10,October,4,08102016,2016
2016-10-09 00:00:00,Sunday,9,7,283,N,10,October,4,09102016,2016
2016-10-10 00:00:00,Monday,10,1,284,Y,10,October,4,10102016,2016
2016-10-11 00:00:00,Tuesday,11,2,285,Y,10,October,4,11102016,2016
2016-10-12 00:00:00,Wednesday,12,3,286,Y,10,October,4,12102016,2016
2016-10-13 00:00:00,Thursday,13,4,287,Y,10,October,4,13102016,2016
2016-10-14 00:00:00,Friday,14,5,288,Y,10,October,4,14102016,2016
2016-10-15 00:00:00,Saturday,15,6,289,N,10,October,4,15102016,2016
2016-10-16 00:00:00,Sunday,16,7,290,N,10,October,4,16102016,2016
2016-10-17 00:00:00,Monday,17,1,291,Y,10,October,4,17102016,2016
2016-10-18 00:00:00,Tuesday,18,2,292,Y,10,October,4,18102016,2016
2016-10-19 00:00:00,Wednesday,19,3,293,Y,10,October,4,19102016,2016
2016-10-20 00:00:00,Thursday,20,4,294,Y,10,October,4,20102016,2016
2016-10-21 00:00:00,Friday,21,5,295,Y,10,October,4,21102016,2016
2016-10-22 00:00:00,Saturday,22,6,296,N,10,October,4,22102016,2016
2016-10-23 00:00:00,Sunday,23,7,297,N,10,October,4,23102016,2016
2016-10-24 00:00:00,Monday,24,1,298,Y,10,October,4,24102016,2016
2016-10-25 00:00:00,Tuesday,25,2,299,Y,10,October,4,25102016,2016
2016-10-26 00:00:00,Wednesday,26,3,300,Y,10,October,4,26102016,2016
2016-10-27 00:00:00,Thursday,27,4,301,Y,10,October,4,27102016,2016
2016-10-28 00:00:00,Friday,28,5,302,Y,10,October,4,28102016,2016
2016-10-29 00:00:00,Saturday,29,6,303,N,10,October,4,29102016,2016
2016-10-30 00:00:00,Sunday,30,7,304,N,10,October,4,30102016,2016
2016-10-31 00:00:00,Monday,31,1,305,Y,10,October,4,31102016,2016
2016-11-01 00:00:00,Tuesday,1,2,306,Y,11,November,4,01112016,2016
2016-11-02 00:00:00,Wednesday,2,3,307,Y,11,November,4,02112016,2016
2016-11-03 00:00:00,Thursday,3,4,308,Y,11,November,4,03112016,2016
2016-11-04 00:00:00,Friday,4,5,309,Y,11,November,4,04112016,2016
2016-11-05 00:00:00,Saturday,5,6,310,N,11,November,4,05112016,2016
2016-11-06 00:00:00,Sunday,6,7,311,N,11,November,4,06112016,2016
2016-11-07 00:00:00,Monday,7,1,312,Y,11,November,4,07112016,2016
2016-11-08 00:00:00,Tuesday,8,2,313,Y,11,November,4,08112016,2016
2016-11-09 00:00:00,Wednesday,9,3,314,Y,11,November,4,09112016,2016
2016-11-10 00:00:00,Thursday,10,4,315,Y,11,November,4,10112016,2016
2016-11-11 00:00:00,Friday,11,5,316,Y,11,November,4,11112016,2016
2016-11-12 00:00:00,Saturday,12,6,317,N,11,November,4,12112016,2016
2016-11-13 00:00:00,Sunday,13,7,318,N,11,November,4,13112016,2016
2016-11-14 00:00:00,Monday,14,1,319,Y,11,November,4,14112016,2016
2016-11-15 00:00:00,Tuesday,15,2,320,Y,11,November,4,15112016,2016
2016-11-16 00:00:00,Wednesday,16,3,321,Y,11,November,4,16112016,2016
2016-11-17 00:00:00,Thursday,17,4,322,Y,11,November,4,17112016,2016
2016-11-18 00:00:00,Friday,18,5,323,Y,11,November,4,18112016,2016
2016-11-19 00:00:00,Saturday,19,6,324,N,11,November,4,19112016,2016
2016-11-20 00:00:00,Sunday,20,7,325,N,11,November,4,20112016,2016
2016-11-21 00:00:00,Monday,21,1,326,Y,11,November,4,21112016,2016
2016-11-22 00:00:00,Tuesday,22,2,327,Y,11,November,4,22112016,2016
2016-11-23 00:00:00,Wednesday,23,3,328,Y,11,November,4,23112016,2016
2016-11-24 00:00:00,Thursday,24,4,329,Y,11,November,4,24112016,2016
2016-11-25 00:00:00,Friday,25,5,330,Y,11,November,4,25112016,2016
2016-11-26 00:00:00,Saturday,26,6,331,N,11,November,4,26112016,2016
2016-11-27 00:00:00,Sunday,27,7,332,N,11,November,4,27112016,2016
2016-11-28 00:00:00,Monday,28,1,333,Y,11,November,4,28112016,2016
2016-11-29 00:00:00,Tuesday,29,2,334,Y,11,November,4,29112016,2016
2016-11-30 00:00:00,Wednesday,30,3,335,Y,11,November,4,30112016,2016
2016-12-01 00:00:00,Thursday,1,4,336,Y,12,December,4,01122016,2016
2016-12-02 00:00:00,Friday,2,5,337,Y,12,December,4,02122016,2016
2016-12-03 00:00:00,Saturday,3,6,338,N,12,December,4,03122016,2016
2016-12-04 00:00:00,Sunday,4,7,339,N,12,December,4,04122016,2016
2016-12-05 00:00:00,Monday,5,1,340,Y,12,December,4,05122016,2016
2016-12-06 00:00:00,Tuesday,6,2,341,Y,12,December,4,06122016,2016
2016-12-07 00:00:00,Wednesday,7,3,342,Y,12,December,4,07122016,2016
2016-12-08 00:00:00,Thursday,8,4,343,Y,12,December,4,08122016,2016
2016-12-09 00:00:00,Friday,9,5,344,Y,12,December,4,09122016,2016
2016-12-10 00:00:00,Saturday,10,6,345,N,12,December,4,10122016,2016
2016-12-11 00:00:00,Sunday,11,7,346,N,12,December,4,11122016,2016
2016-12-12 00:00:00,Monday,12,1,347,Y,12,December,4,12122016,2016
